Window,Best_Univariate,Selected_Vars,R2_InSample,R2_OutSample,RMSE_Test,MAE_Test
5d,ppi,ppi,0.40118046827071585,0.0018770436037264249,0.0255744950365881,0.017946910686351923
60d,ppi,ppi,0.3127882754947905,0.03923936846102449,0.08519460251265457,0.07099963617466343
