Window,Model,R2_InSample,R2_OutSample,RMSE_Test,Best_Var
5d,Univariate_ppi,0.004452467600664534,0.003771283529374503,0.02664650871957655,ppi
5d,Multivariate,0.004452467600664534,0.003771283529374503,0.02664650871957655,ppi
60d,Univariate_epu,0.06650406671077158,-0.011137053439820077,0.08424694058535133,epu
60d,Multivariate,0.08990953326409867,-0.05122363217256187,0.08590069616390987,ppi
