date,market_return,abnormal_return,abs_ar,hs300_close,hs300_volume,ivix,north_flow,margin_balance,usd_cny,gdp_growth,cpi,ppi,m2_growth,epu,volatility_20d,turnover_ratio,amihud
2015-07-01,-0.04917887287228828,0.0030798127886383364,0.0030798127886383364,4253.021,43172140800,55.91,27.08,20303.4,611.49,12.4,1.2,-4.6,10.8,268.70921,0.034652559745381936,0.9489070077576469,0.011391344501565296
2015-07-02,-0.03409929083350394,0.0006672187750018654,0.0006672187750018654,4107.996,45706220800,57.54,27.08,19795.0,611.71,12.4,1.2,-4.6,10.8,268.70921,0.035067606669188456,0.9999015023240762,0.0074605360576002686
2015-07-03,-0.05406017922120665,0.0036616324788000254,0.0036616324788000254,3885.917,42930086400,55.15,69.7986,19065.3,611.6,12.4,1.2,-4.6,10.8,268.70921,0.03608784218022515,0.9446937225934846,0.012592608996288125
2015-07-06,0.02898157629203091,0.004842967183874114,0.004842967183874114,3998.537,64809452800,60.08,-135.2322,17668.5,611.72,12.4,1.2,-4.6,10.8,268.70921,0.03699783829846712,1.4103096866543174,0.0044718131445218605
2015-07-07,-0.01763995181237532,-0.004719364680048188,0.004719364680048188,3928.003,67938502400,54.84,-103.5783,16201.8,611.66,12.4,1.2,-4.6,10.8,268.70921,0.036007680746829904,1.4716638291854258,0.0025964587368318736
2015-07-08,-0.06745539654628574,-0.008446643150571864,0.008446643150571864,3663.038,58146707200,51.7,-66.2613,14437.8,611.75,12.4,1.2,-4.6,10.8,268.70921,0.03781221637240856,1.2580525853198004,0.011600897074750562
2015-07-09,0.06404192367100747,0.006406641656221845,0.006406641656221845,3897.626,50387062400,55.34,-37.5711,14359.8,611.51,12.4,1.4,-4.8,10.8,268.70921,0.04191595491390928,1.082937373101957,0.01270999352226723
2015-07-10,0.05360442484732997,0.00818571041642202,0.00818571041642202,4106.556,50070179200,54.02,-28.5082,14379.7,611.53,12.4,1.4,-4.8,10.8,268.70921,0.04453085458508278,1.0637396680421445,0.010705858397912419
2015-07-13,0.025631210191703335,0.0017555775203170754,0.0017555775203170754,4211.812,50209219200,52.96,-23.018600000000003,14368.1,611.33,12.4,1.4,-4.8,10.8,268.70921,0.04516766537344061,1.058601590422896,0.005104881254895781
2015-07-14,-0.023662737083231522,-0.01210190222275953,0.01210190222275953,4112.149,45442201600,49.31,-15.722,14387.8,611.65,12.4,1.4,-4.8,11.8,268.70921,0.04519900107058753,0.9602532760344153,0.005207216254951768
2015-07-15,-0.03535620912569082,-0.005088813667379899,0.005088813667379899,3966.759,42195635200,45.06,-3.3362,14197.3,611.52,12.4,1.4,-4.8,11.8,268.70921,0.04533503239792289,0.8906815935778858,0.008379115270598134
2015-07-16,0.007713349865721586,0.0031220824967230776,0.0031220824967230776,3997.356,33053136000,41.63,-5.299,14185.5,611.73,12.4,1.4,-4.8,11.8,268.70921,0.045154445497858735,0.70263659166828,0.0023336211927732324
2015-07-17,0.03856048848288718,0.003465059970048756,0.003465059970048756,4151.496,33110713600,39.33,1.9485,14254.5,611.92,12.4,1.4,-4.8,11.8,268.70921,0.045935741789133074,0.7063598190486714,0.01164592492590893
2015-07-20,0.0021958349472093186,-0.006587310954393688,0.006587310954393688,4160.612,35267347200,38.73,-3.7824,14238.8,611.97,12.4,1.4,-4.8,11.8,268.70921,0.0443048677557068,0.7528039919087126,0.0006226254939893292
2015-07-21,0.0012964438885434415,-0.005107437768024248,0.005107437768024248,4166.006,31837494400,38.79,-6.7102,14325.4,611.99,12.4,1.4,-4.8,11.8,268.70921,0.043492780976244164,0.6829967426969485,0.0004072066326122201
2015-07-22,-0.00212337668260687,-0.004206671125288275,0.004206671125288275,4157.16,31894598400,35.26,-6.2339,14362.6,611.68,12.4,1.4,-4.8,11.8,268.70921,0.0430873100642205,0.6928193440519426,0.0006657480542557545
2015-07-23,0.02252619576826498,-0.0017850079068055802,0.0017850079068055802,4250.805,35447174400,32.98,3.3360000000000003,14552.5,611.72,12.4,1.4,-4.8,11.8,268.70921,0.04302510060356646,0.7777318246316168,0.006354863582092732
2015-07-24,-0.017532208605193556,-0.004676730944723206,0.004676730944723206,4176.279,39204537600,33.09,-0.6615000000000001,14542.3,611.69,12.4,1.4,-4.8,11.8,268.70921,0.039479938339994594,0.8653533246651918,0.004471984540175665
2015-07-27,-0.08561401189910922,-0.0007803580803542598,0.0007803580803542598,3818.731,36505449600,30.41,-1.5371,14261.5,611.76,12.4,1.4,-4.8,11.8,268.70921,0.04327157127009637,0.8203173305826416,0.023452392132463758
2015-07-28,-0.0020001408844980695,0.014790900886962777,0.014790900886962777,3811.093,38352723200,39.52,24.5827,13775.8,611.54,12.4,1.4,-4.8,11.8,268.70921,0.03994313531131387,0.8759523499969754,0.0005215120903065547
2015-07-29,0.031299682269627205,-0.003143651367646383,0.003143651367646383,3930.379,27697283200,41.79,-6.4486,13690.2,611.5,12.4,1.4,-4.8,11.8,268.70921,0.03954422080840085,0.6439688181903158,0.011300632644586313
2015-07-30,-0.02925086868212967,-0.007240232046329953,0.007240232046329953,3815.412,27154867200,37.43,-2.0587,13677.2,611.65,12.4,1.4,-4.8,11.8,268.70921,0.03935915573410329,0.6452735975524866,0.01077186953878002
2015-07-31,0.0003373161273279024,0.011681799292212025,0.011681799292212025,3816.699,22237676800,40.17,4.2727,13352.0,611.72,12.4,1.4,-4.8,11.8,268.70921,0.03747523564269083,0.5417468248263355,0.0001516867658261417
2015-08-03,0.003284513659578714,0.014426449492116356,0.014426449492116356,3829.235,24580502400,40.45,-21.9915,12937.4,611.69,12.4,1.4,-4.8,11.8,224.05859,0.03685668237208392,0.6296775478269927,0.0013362272284470126
2015-08-04,0.0310558114088062,-0.005831713933426075,0.005831713933426075,3948.155,22023656000,40.02,-3.6768,13098.5,611.77,12.4,1.4,-4.8,11.8,224.05859,0.037340117757100395,0.5994314527048829,0.014101115368314054
2015-08-05,-0.02058049899256742,-0.0040834252186607856,0.0040834252186607856,3866.9,20048427200,40.26,0.0591,13090.4,611.86,12.4,1.4,-4.8,11.8,224.05859,0.03415745556391964,0.5755089710337488,0.010265393283602526
2015-08-06,-0.009063590990198933,-0.00012236828327183424,0.00012236828327183424,3831.852,14727868800,41.51,2.0893,13053.3,611.81,12.4,1.4,-4.8,11.8,224.05859,0.031085427301084812,0.44558295466835346,0.006154041099414828
2015-08-07,0.01959705124310651,-0.002979794176264816,0.002979794176264816,3906.945,18334915200,40.79,7.7587,13141.7,611.74,12.4,1.4,-4.8,11.8,224.05859,0.02882473798281551,0.5826847099306272,0.010688378445898955
2015-08-10,0.04541144039652445,-0.0037872546535595575,0.0037872546535595575,4084.365,30678054400,40.75,1.7668,13371.2,611.62,12.4,1.6,-5.4,11.8,224.05859,0.03013528911150707,1.0061772073505164,0.014802581612386883
2015-08-11,-0.004332619636100099,-0.004203559951723612,0.004203559951723612,4066.669,32203417600,40.18,6.5727,13510.4,622.98,12.4,1.6,-5.4,13.3,224.05859,0.029679946055255785,1.0796453562499042,0.0013453912531631732
2015-08-12,-0.012428599426213327,-0.001840775067801781,0.001840775067801781,4016.126,25514619200,39.83,-2.0065,13555.9,633.06,12.4,1.6,-5.4,13.3,224.05859,0.028673400772529455,0.8800049270802307,0.004871167909185698
2015-08-13,0.014774685853979674,-0.0027833124580480817,0.0027833124580480817,4075.463,24283697600,39.61,1.6698,13693.8,640.1,12.4,1.6,-5.4,13.3,224.05859,0.028803367307833137,0.8504109254692881,0.006084199407086866
2015-08-14,-0.00047184822926871206,-0.0031975650986213466,0.0031975650986213466,4073.54,25339299200,39.65,-0.2221999999999999,13747.7,639.75,12.4,1.6,-5.4,13.3,224.05859,0.027441020087057157,0.899619648754577,0.00018621202802195574
2015-08-17,0.001063448499339703,-0.006081723346166523,0.006081723346166523,4077.872,25693963200,40.06,-5.8436,13891.1,639.69,12.4,1.6,-5.4,13.3,224.05859,0.027436156998163243,0.9279815346853615,0.00041389041116852814
2015-08-18,-0.061909741159114406,-0.0004364289058174098,0.0004364289058174098,3825.412,31988105600,39.07,-4.8258,13685.9,639.66,12.4,1.6,-5.4,13.3,224.05859,0.03065332504144798,1.1549911456796398,0.01935398798955897
2015-08-19,0.015873845745242754,0.0036158442276998937,0.0036158442276998937,3886.136,26904982400,37.42,0.1653,13617.8,639.63,12.4,1.6,-5.4,13.3,224.05859,0.03096762127866039,0.9802857452218214,0.005899965110269968
2015-08-20,-0.032083797376108225,0.00213187750302668,0.00213187750302668,3761.454,21216796800,38.03,-8.3861,13537.4,639.15,12.4,1.6,-5.4,13.3,224.05859,0.031015433768318102,0.7936098801700968,0.015121885588359984
2015-08-21,-0.04570519804309714,-0.002982881502189172,0.002982881502189172,3589.536,21798640000,35.2,-9.2285,13229.9,638.64,12.4,1.6,-5.4,13.3,224.05859,0.03220162035603696,0.8428097583514906,0.020966995208461237
2015-08-24,-0.08747704438679538,-0.002568054449103241,0.002568054449103241,3275.534,25543665600,35.61,81.48819999999999,12452.5,638.62,12.4,1.6,-5.4,13.3,224.05859,0.032442680249536095,1.008986652685651,0.03424608110544455
2015-08-25,-0.07101345917948032,0.005293472022533496,0.005293472022533496,3042.927,27608131200,48.34,79.81439999999999,11600.2,639.87,12.4,1.6,-5.4,13.3,224.05859,0.035403403842921274,1.114177766899144,0.025721936289364027
2015-08-26,-0.005663954475411348,0.007044112764460153,0.007044112764460153,3025.692,30827062400,63.79,73.9709,11055.4,640.43,12.4,1.6,-5.4,13.3,224.05859,0.03404060369048461,1.236276171200124,0.0018373318877803121
2015-08-27,0.059472676002712666,0.0060775198035276645,0.0060775198035276645,3205.638,26729492800,61.14,47.1277,10742.0,640.85,12.4,1.6,-5.4,13.3,224.05859,0.03735308149179062,1.072863981844289,0.022249833338668014
2015-08-28,0.042627395856924544,-0.005614734827722012,0.005614734827722012,3342.286,29949843200,61.16,-25.492,10720.3,639.86,12.4,1.6,-5.4,13.3,224.05859,0.03900972022000157,1.1837996369944586,0.014232927889560551
2015-08-31,0.007255513142801151,0.015411808098483526,0.015411808098483526,3366.536,28025040000,62.28,-6.4947,10558.6,638.93,12.4,1.6,-5.4,13.3,224.05859,0.039068873056415564,1.100229965911505,0.002588939442299155
2015-09-01,-0.0013227246047569086,0.010954933501048925,0.010954933501048925,3362.083,35245852800,63.33,-12.890999999999998,10121.6,637.52,12.4,1.6,-5.4,13.3,393.23413,0.03812597707791444,1.3487057109919465,0.00037528517532619003
2015-09-02,0.0011150825247323581,0.0031541626302327153,0.0031541626302327153,3365.832,34778940800,60.88,-30.4361,9591.0,636.19,12.4,1.6,-5.4,13.3,393.23413,0.038036734062949246,1.294359262425043,0.0003206200358845771
2015-09-07,-0.03426998138944537,-0.009034922609324036,0.009034922609324036,3250.485,20422443200,59.49,-1.7682,9753.8,635.84,12.4,1.6,-5.4,13.3,393.23413,0.038550251427341455,0.7520874034488332,0.016780549248605753
2015-09-08,0.02570016474464576,-0.003527018561526818,0.003527018561526818,3334.023,15459963200,47.98,43.7886,9729.2,636.39,12.4,1.6,-5.4,13.3,393.23413,0.03879917361192596,0.5723665109058945,0.01662369076314862
2015-09-09,0.019580548784456475,-0.003330064591806403,0.003330064591806403,3399.305,22046742400,45.63,-29.8587,9872.3,636.32,12.4,1.6,-5.4,13.3,393.23413,0.0373599865508969,0.829478663660255,0.00888137958397721
2015-09-10,-0.01228015726744136,0.0016559388433960986,0.0016559388433960986,3357.561,14488297600,41.78,29.083,9841.7,637.72,12.4,2.0,-5.9,13.3,393.23413,0.03735603316890924,0.5638944574787741,0.008475914566692336
