target,family,horizon,model,best_params,train_r2,test_r2_os,test_rmse,test_mae,unstable,note
future_upratio_20,upratio,20,HAR_OLS,,0.0045,-0.0917,0.120984,0.100767,False,
future_upratio_20,upratio,20,HAR_Ridge,alpha=10000,0.0014,-0.1099,0.121985,0.10184,False,
future_upratio_20,upratio,20,HARplusMacro_Ridge,alpha=10000,0.0464,-0.1226,0.122682,0.10187,False,
future_signbalance_20,signbalance,20,Macro_SummaryOLS,,0.143,-0.3236,0.26643,0.21746,False,
future_signbalance_20,signbalance,20,Macro_Ridge,alpha=10000,0.0458,-0.1283,0.245984,0.204326,False,
future_signbalance_20,signbalance,20,Macro_PCR,n_components=2,0.0117,-0.1159,0.244628,0.202653,False,
future_signbalance_20,signbalance,20,Factor_OLS,,0.0484,-0.2584,0.259779,0.21441,False,
future_signbalance_20,signbalance,20,Factor_Ridge,alpha=10000,0.0188,-0.131,0.246277,0.205303,False,
future_signbalance_20,signbalance,20,HAR_OLS,,0.0045,-0.0917,0.241968,0.201534,False,
future_signbalance_20,signbalance,20,HAR_Ridge,alpha=10000,0.0014,-0.1099,0.243969,0.20368,False,
future_signbalance_20,signbalance,20,HARplusMacro_Ridge,alpha=10000,0.0464,-0.1226,0.245363,0.203739,False,
future_logrv_60,logrv,60,Macro_SummaryOLS,,0.5217,-0.2627,0.681612,0.528335,False,
future_logrv_60,logrv,60,Macro_Ridge,alpha=10000,0.1594,-0.0309,0.615877,0.486082,False,
future_logrv_60,logrv,60,Macro_PCR,n_components=1,0.0284,-0.1331,0.645673,0.527491,False,
future_logrv_60,logrv,60,Factor_OLS,,0.1908,-0.6217,0.772443,0.668667,False,
future_logrv_60,logrv,60,Factor_Ridge,alpha=10000,0.0489,-0.1264,0.64375,0.530009,False,
future_logrv_60,logrv,60,HAR_OLS,,0.4661,-0.427,0.724578,0.568363,False,
future_logrv_60,logrv,60,HAR_Ridge,alpha=10000,0.2147,-0.0903,0.633374,0.509444,False,
future_logrv_60,logrv,60,HARplusMacro_Ridge,alpha=10000,0.3072,-0.0223,0.61328,0.481419,False,
future_absret_60,absret,60,Macro_SummaryOLS,,0.4812,-0.4759,0.002722,0.002218,False,
