target,model,feature,coefficient
future_absret_5,Macro_SummaryOLS,ppi_delta1_avg12,-0.00993
future_absret_5,Macro_SummaryOLS,m2_yoy_m1,0.000461
future_absret_5,Macro_SummaryOLS,m2_yoy_avg12,-0.000999
future_absret_5,Macro_SummaryOLS,m2_delta1_m1,-0.001185
future_absret_5,Macro_SummaryOLS,m2_delta1_avg12,0.01629
future_absret_5,Macro_SummaryOLS,epu_log_m1,0.00573
future_absret_5,Macro_SummaryOLS,epu_log_avg12,-0.004518
future_absret_5,Macro_SummaryOLS,epu_log_delta1_m1,-0.002349
future_absret_5,Macro_SummaryOLS,epu_log_delta1_avg12,-0.006991
future_absret_5,Macro_SummaryOLS,fx_log_m1,0.091279
future_absret_5,Macro_SummaryOLS,fx_log_avg12,-0.153792
future_absret_5,Macro_SummaryOLS,fx_ret1_m1,-0.078826
future_absret_5,Macro_SummaryOLS,fx_ret1_avg12,0.555707
future_absret_5,Macro_Ridge,cpi_yoy_m1,2.3e-05
future_absret_5,Macro_Ridge,cpi_yoy_avg12,1.6e-05
future_absret_5,Macro_Ridge,cpi_delta1_m1,5.7e-05
future_absret_5,Macro_Ridge,cpi_delta1_avg12,0.001535
future_absret_5,Macro_Ridge,ppi_yoy_m1,-5.8e-05
future_absret_5,Macro_Ridge,ppi_yoy_avg12,-5.6e-05
future_absret_5,Macro_Ridge,ppi_delta1_m1,-8.5e-05
future_absret_5,Macro_Ridge,ppi_delta1_avg12,-0.002012
future_absret_5,Macro_Ridge,m2_yoy_m1,3.4e-05
future_absret_5,Macro_Ridge,m2_yoy_avg12,2.2e-05
future_absret_5,Macro_Ridge,m2_delta1_m1,-7e-06
future_absret_5,Macro_Ridge,m2_delta1_avg12,0.002506
future_absret_5,Macro_Ridge,epu_log_m1,-5.3e-05
future_absret_5,Macro_Ridge,epu_log_avg12,-9.9e-05
future_absret_5,Macro_Ridge,epu_log_delta1_m1,0.000276
future_absret_5,Macro_Ridge,epu_log_delta1_avg12,0.004163
future_absret_5,Macro_Ridge,fx_log_m1,-0.004733
future_absret_5,Macro_Ridge,fx_log_avg12,-0.005195
future_absret_5,Macro_Ridge,fx_ret1_m1,0.01822
future_absret_5,Macro_Ridge,fx_ret1_avg12,0.182765
future_absret_5,Macro_PCR,PC1,0.262548
future_absret_5,Factor_OLS,price_factor_m1,9.6e-05
future_absret_5,Factor_OLS,price_factor_avg12,-0.002648
future_absret_5,Factor_OLS,money_factor_m1,-5.5e-05
future_absret_5,Factor_OLS,money_factor_avg12,0.000787
future_absret_5,Factor_OLS,policy_factor_m1,0.000243
