date,close,return,volatility_20d,volatility_60d,momentum_5d,momentum_10d,momentum_20d,volume_ratio_5d,volume_ratio_20d,intraday_range,sentiment_raw,sentiment_zscore,sentiment_level
2006-01-17,964.29,0.0029653467354662233,0.009166105849535566,0.009169889266240993,-0.014032425875350807,0.043961609559438175,0.06706214514871678,0.7490891929080032,0.8995220483042823,0.014259195885055326,0.004053928823848464,0.2748728117655407,中性
2006-01-18,983.622,0.020047910898173704,0.009859328978824413,0.009489288321133165,0.01079694070362569,0.044542326204749516,0.08672337858132306,1.027362497539335,1.133374612876379,0.021954571979886612,0.0002914616445364866,-0.16090854733136084,中性
2006-01-19,991.222,0.007726545359904469,0.009888092640110863,0.009314081791926963,0.008005517996487965,0.03346127289539824,0.08956793127307683,1.2490434332190352,1.379256115716356,0.014117927164651338,0.001780251120518779,0.0008370096119490968,中性
2006-01-20,993.34,0.0021367564481014067,0.00967498931491358,0.008837922933913046,0.0151305027543861,0.024235696238844806,0.0963050593659599,1.1910073984673952,1.3090073613253934,0.0074898826182375165,0.002644804351517951,0.09516629656055718,中性
2006-01-23,996.162,0.002840920530734703,0.00967874222383964,0.008834015626679908,0.035717479972380506,0.021694320103077702,0.0929343458715558,1.0064334820076486,1.0915697989258084,0.008020783768101985,0.00022905175209863088,-0.18621519331892045,中性
2006-01-24,999.093,0.0029422925186866067,0.009655392313592024,0.008705322736758205,0.03569442575560089,0.021661999880250082,0.0880241282499844,1.0068216247191202,1.137699747412508,0.01276357656394345,0.00024266722254584174,-0.18432256643613676,中性
2006-01-25,1009.597,0.01051353577694969,0.009735668063992889,0.008715278631195426,0.026160050634376875,0.036956991338002565,0.0914538439175322,0.8997614056042902,1.0096622428572308,0.019942610764493173,-0.002763172501099369,-0.5307438714868649,中性
2006-02-06,1033.234,0.0234123120413392,0.010409184430119057,0.009086020454529551,0.041845817315811606,0.04985133531229957,0.11813813339111723,1.0456295546365795,1.1257655502807533,0.0198861051804335,0.0018671247431181843,0.0026561314576163254,中性
2006-02-07,1029.937,-0.0031909519044088785,0.010569356018161323,0.009054862952969818,0.03651810896330132,0.05164861171768742,0.11325143662071457,1.3021662306485704,1.41541716746419,0.01802537436755835,0.009641847421785305,0.8947756088620006,中性
2006-02-08,1033.072,0.003043875499181059,0.010473765068002561,0.008926496860730954,0.03672106393174768,0.07243854390412818,0.10422910434266452,1.0301926867136204,1.1353594329552406,0.010127077299549186,0.0010922995982890688,-0.0911535254762635,中性
2006-02-09,1019.599,-0.013041685381076862,0.010782252253192641,0.009155441921930331,0.02073708603198421,0.0564315117875851,0.10039312134702327,0.9125510296435068,0.9858695340825631,0.01583465656596366,-0.001897677124344393,-0.4370594119131166,中性
2006-02-10,1032.337,0.012493146815561795,0.01039628513317941,0.009231016031960049,0.022716697070596314,0.04887674770497319,0.0934190739097227,0.8416280303631931,0.9091181767466755,0.013673829379359632,-0.003916747746371294,-0.6689873939432146,中性
2006-02-13,1031.614,-0.0007003526949048711,0.009903615341301283,0.009237545669737366,-0.001395967665647757,0.04044984965016385,0.07391112254556209,0.865770607767247,0.9244360212972309,0.012410649719759519,0.00020120820796682128,-0.19311776604413441,中性
2006-02-14,1038.531,0.006705027267950969,0.009767678338014896,0.0092259695517459,0.00850001150671209,0.04501812047001341,0.06925381670885822,0.8169917763153405,0.7936132935408017,0.008039240041943797,-0.0017180754498080397,-0.4151131255198713,中性
2006-02-15,1041.66,0.0030129095809370288,0.009757534144541013,0.008790281687056513,0.00846904558846806,0.04519010952021574,0.06688442962329344,1.1127935690925645,1.0589596298021529,0.00921605898277762,0.0009051172430545907,-0.11421609152812824,中性
2006-02-16,1020.121,-0.020677572336463057,0.011140062018403946,0.009313949999862901,0.0008331586330818652,0.021570244665066074,0.043232244545316156,1.1505682084323785,1.1096019209053058,0.02201209464367455,0.00011685542612293669,-0.20048233109991204,中性
2006-02-17,1020.368,0.00024212813970114766,0.011031378835347539,0.009288526350185873,-0.011417860042778782,0.011298837027817532,0.0482558283658201,0.9329942420952129,0.9023998504720524,0.012330845342072768,0.0007918999503580732,-0.1235379362052487,中性
2006-02-20,1021.639,0.0012456290279585502,0.010866424936582549,0.009211615071886255,-0.009471878319915361,-0.010867845985563118,0.038983489326736454,0.8605160359136513,0.813010019370703,0.009824409600651425,0.0014228942413794573,-0.05509448952237333,中性
2006-02-21,1038.816,0.016813179606494977,0.011221573792704163,0.009365656748045766,0.0006362740186286464,0.009136285525340737,0.06078489724302816,1.034261690070974,1.0198586455331238,0.023366987031389473,2.143469048979869e-05,-0.22219829533686347,中性
2006-02-22,1037.885,-0.000896212611280589,0.010161366081163529,0.009368178031709761,-0.0032728481735889714,0.005196197414879089,0.07763474131900727,1.1028913175598989,1.0813756650395703,0.009702423678923905,-0.00032052704675373974,-0.25918834920034167,中性
