date,sentiment_proxy,sentiment_zscore,momentum_5d,momentum_20d,volume_ratio
2006-01-17,-0.01262247646607357,-0.2642498499425986,-0.014032425875350807,0.06706214514871678,0.8995220483042823
2006-01-18,0.012236978490220986,0.13713605087171105,0.01079694070362569,0.08672337858132306,1.133374612876379
2006-01-19,0.011041659656133376,0.09921526585019369,0.008005517996487965,0.08956793127307683,1.379256115716356
2006-01-20,0.019805939486045546,0.2819944590139003,0.0151305027543861,0.0963050593659599,1.3090073613253934
2006-01-23,0.03898812243158798,0.7028368150177744,0.035717479972380506,0.0929343458715558,1.0915697989258084
2006-01-24,0.040609539166181645,0.7335935642567937,0.03569442575560089,0.0880241282499844,1.137699747412508
2006-01-25,0.02641281539676368,0.4170484207735288,0.026160050634376875,0.0914538439175322,1.0096622428572308
2006-02-06,0.04710857955748253,0.8769399521553211,0.041845817315811606,0.11813813339111723,1.1257655502807533
2006-02-07,0.0516883583499846,0.9766813801810694,0.03651810896330132,0.11325143662071457,1.41541716746419
2006-02-08,0.04169160632306218,0.7493718877421418,0.03672106393174768,0.10422910434266452,1.1353594329552406
2006-02-09,0.0204440613445823,0.26838102420844245,0.02073708603198421,0.10039312134702327,0.9858695340825631
2006-02-10,0.020652162222527064,0.2679277149794101,0.022716697070596314,0.0934190739097227,0.9091181767466755
2006-02-13,-0.0012904827946909956,-0.23113987015841111,-0.001395967665647757,0.07391112254556209,0.9244360212972309
2006-02-14,0.006745722126976494,-0.057163007660056046,0.00850001150671209,0.06925381670885822,0.7936132935408017
2006-02-15,0.008968377381141692,-0.008716030137060382,0.00846904558846806,0.06688442962329344,1.0589596298021529
2006-02-16,0.0009244744196864765,-0.185691564655936,0.0008331586330818652,0.043232244545316156,1.1096019209053058
2006-02-17,-0.010303475195314394,-0.4384146580276088,-0.011417860042778782,0.0482558283658201,0.9023998504720524
2006-02-20,-0.00770073197635133,-0.3756804371551017,-0.009471878319915361,0.038983489326736454,0.813010019370703
2006-02-21,0.0006489095588265289,-0.18284458990826424,0.0006362740186286464,0.06078489724302816,1.0198586455331238
2006-02-22,-0.003539178370288317,-0.27942463658982636,-0.0032728481735889714,0.07763474131900727,1.0813756650395703
2006-02-23,0.017365872278826567,0.19456412706389048,0.02076540477777855,0.07803007519844551,0.8362886476169303
2006-02-24,0.02357188552086595,0.3318905505673337,0.0282736216153332,0.0657325092775276,0.8337059129376821
2006-02-27,0.024905966781818223,0.3641297255552104,0.025504328628173423,0.05648229995842191,0.9765388120942647
2006-02-28,0.011420094046315431,0.056323943636473514,0.013620313163321573,0.05927470765196363,0.8384604604443928
2006-03-01,0.015204304470064354,0.15099995163567084,0.01794384365382451,0.059861105000451276,0.8473270701299129
2006-03-02,-0.002608963953845412,-0.2553262678902768,-0.0024078242516738513,0.039927825191170774,1.0835358735305263
2006-03-03,-0.0067117761201666995,-0.3457702424215708,-0.007259258510758482,0.03231320013239225,0.9245814996420925
2006-03-06,-0.006672396204710724,-0.34419886700261193,-0.008427407848769164,0.006209074793841141,0.7917495301577504
2006-03-07,-0.032119747562009845,-0.9334697038379104,-0.03636227143586912,-0.01360567274720681,0.8833262140583911
2006-03-08,-0.03702899128272391,-1.0400844019545492,-0.04540747274647339,-0.02226743167776979,0.8154823213674627
2006-03-09,-0.02032949323957749,-0.6441493197199237,-0.03329822683158523,-0.014107487672398666,0.6105278020478204
2006-03-10,-0.01849512552203397,-0.5965254004642857,-0.031663830236724144,-0.02206732717492821,0.5841089149278936
2006-03-13,-0.01073896082443216,-0.4095349537846404,-0.018101729883450046,-0.010496687423961149,0.5932560530720614
2006-03-14,0.0019482077745079397,-0.11057440483125877,0.0033429771159552146,-0.018762707137963686,0.5827762820180907
2006-03-15,0.015217418613650642,0.19867102982802418,0.019455109628132905,-0.011281367638104944,0.7821810775944237
2006-03-16,0.018500142740459358,0.2718794205755548,0.023032618955494466,0.008091972650013934,0.803214900407412
2006-03-17,0.012424884700063272,0.126798423444694,0.01499508438247421,0.004345617250324785,0.828597184460335
2006-03-20,0.014973760836150056,0.1839984115940629,0.017448820900285433,0.016424011796239646,0.8581531624240072
2006-03-21,0.02370236004683594,0.38644352337958154,0.021995379895656253,0.002596398739063921,1.077606304563841
2006-03-22,0.019470096343906902,0.28644249732206056,0.01813956802931105,0.010131048564795075,1.073349503827539
2006-03-23,0.023848792703488275,0.38999817195406117,0.020275171907990663,0.007601739780226047,1.1762560047192108
2006-03-24,0.02090137718481097,0.31826970487518397,0.018118177866298435,-0.00580982649870998,1.153613643659474
2006-03-27,0.012568198810373013,0.12145453341620499,0.012568940620080626,0.0034886237881468496,0.9999409807293999
2006-03-28,0.018823151322647252,0.26694128123071137,0.014603803172309027,0.003579888748051374,1.288921187210927
