持股日期,股票代码,股票简称,当日收盘价,当日涨跌幅,持股数量,持股市值,持股数量占发行股百分比,持股市值变化-1日,持股市值变化-5日,持股市值变化-10日
2024-01-10,002490,ST墨龙,4.28,-2.95,713.63,3054.32,0.89,-3305501.23,-6700790.38,-11123541.73
2024-01-10,300205,ST天喻,10.5,-0.85,50.94,534.91,0.12,-2912488.56,-7759463.42,-11422133.1
