Window,Model,R2_InSample,R2_OutSample,RMSE_Test
5d,Univariate_epu,0.006272941360435436,0.00034985974390777663,0.026509698540473726
5d,Multivariate,0.007584120676437767,-0.0041015825005210615,0.026568656824120962
60d,Univariate_epu,0.05278110850458295,0.03294082864191428,0.07998876932717695
60d,Multivariate,0.11098690944298284,-0.11481160469593155,0.08588221391985819
