window,var,coef,t_stat,p_val,sig
5d,sentiment_zscore,0.0013223324174177914,2.1746150705024654,0.029658974030443104,**
5d,ivix_z,0.004288709004305694,4.027422462204653,5.6391655290127434e-05,***
5d,north_flow_z,-0.0005474063994251677,-0.8921625743116675,0.37230579907694017,
5d,margin_balance_z,-0.0006350797491078085,-1.0802130584052638,0.2800473146943534,
5d,amihud_z,-0.00018206238262786345,-0.21117471425875511,0.8327509409290479,
5d,momentum_20d,0.034272618208392516,2.376974502911344,0.017455294645478747,**
5d,intraday_range_z,0.0018709823156043272,2.1772737555787063,0.029460148113961783,**
5d,epu_z,0.0007704478099067263,0.9735650195138318,0.33027256195308186,
5d,fx_vol_z,-0.0005317779965177819,-0.7804616275615535,0.4351192054675299,
60d,sentiment_zscore,-0.0007373548112414542,-0.5471427010199398,0.5842806978843953,
60d,ivix_z,-0.008921580410388022,-1.083702601319424,0.2784966818743032,
60d,north_flow_z,0.005217199623537538,2.37116687472353,0.017732023145808042,**
60d,margin_balance_z,-0.0006101809117369435,-0.102230767274798,0.9185735069311424,
60d,amihud_z,0.00464776884925059,1.3242698226998757,0.1854134490344418,
60d,momentum_20d,0.06427143413759286,0.6279507300114968,0.5300362167410538,
60d,intraday_range_z,-0.004542806449886511,-1.3075111852363341,0.19103915864809617,
60d,epu_z,0.009093221241413608,1.1990009096444634,0.23052759190073835,
60d,fx_vol_z,0.012672513047303213,1.7655197935784543,0.07747644661633439,*
