Window,Model,Variable,Coefficient/Importance
R_60d,PCR_60dim,usd_cny_lagm7,0.0007678654955892674
R_60d,PCR_60dim,usd_cny_lagm8,0.0007393982677985188
R_60d,PCR_60dim,usd_cny_lagm9,0.0006814657254866403
R_60d,PCR_60dim,usd_cny_lagm10,0.0006098887908775561
R_60d,PCR_60dim,usd_cny_lagm11,0.0005328932783022566
R_60d,PCR_60dim,usd_cny_lagm12,0.000469095849907468
R_60d,PCR_15dim,cpi_m1,0.0029415254925643144
R_60d,PCR_15dim,cpi_m3avg,0.0033911069552977763
R_60d,PCR_15dim,cpi_m12avg,0.004165679047829667
R_60d,PCR_15dim,ppi_m1,0.003577537000353367
R_60d,PCR_15dim,ppi_m3avg,0.0033998949186850535
R_60d,PCR_15dim,ppi_m12avg,0.0020212909220292466
R_60d,PCR_15dim,m2_growth_m1,0.000616560012419319
R_60d,PCR_15dim,m2_growth_m3avg,1.3619354835488059e-05
R_60d,PCR_15dim,m2_growth_m12avg,0.002007244802786721
R_60d,PCR_15dim,epu_m1,0.003997141396127028
R_60d,PCR_15dim,epu_m3avg,0.004202105568773705
R_60d,PCR_15dim,epu_m12avg,0.0037011212014637393
R_60d,PCR_15dim,usd_cny_m1,0.003668729618388396
R_60d,PCR_15dim,usd_cny_m3avg,0.0038692875163451835
R_60d,PCR_15dim,usd_cny_m12avg,0.0034368300693558428
