date,market_return,abnormal_return,abs_ar,hs300_close,hs300_volume,ivix,north_flow,margin_balance,usd_cny,gdp_growth,cpi,ppi,m2_growth,epu,volatility_20d,volatility_60d,momentum_5d,momentum_10d,momentum_20d,volume_ratio_5d,volume_ratio_20d,intraday_range,sentiment_zscore,sentiment_level,amihud
2015-07-01,-0.0491788728722882,0.0030798127886383,0.0030798127886383,4253.021,43172140800,55.91,27.08,20303.4,611.49,12.4,1.2,-4.6,10.8,268.70921,0.0346525597453819,0.0272303068657756,-0.1296474334907125,-0.1633036602428705,-0.1812050922101927,0.9080441549547386,0.9489070077576468,0.0682881650478566,1.4470587497899394,贪婪,0.0113913445015652
2015-07-02,-0.0340992908335039,0.0006672187750018,0.0006672187750018,4107.996,45706220800,57.54,27.08,19795.0,611.71,12.4,1.2,-4.6,10.8,268.70921,0.0350676066691884,0.027455941104525,-0.1281718231843687,-0.2120155109279468,-0.2117630307818226,0.9569453598789932,0.9999015023240762,0.0759808432140633,0.4507140165233383,中性,0.0074605360576002
2015-07-03,-0.0540601792212066,0.0036616324788,0.0036616324788,3885.917,42930086400,55.15,69.7986,19065.3,611.6,12.4,1.2,-4.6,10.8,268.70921,0.0360878421802251,0.0282944987243548,-0.1035493845200736,-0.2255446822214749,-0.2731772176125004,0.9053953650167482,0.9446937225934846,0.097461422876505,1.1166127453390724,贪婪,0.0125926089962881
2015-07-06,0.0289815762920309,0.0048429671838741,0.0048429671838741,3998.537,64809452800,60.08,-135.2322,17668.5,611.72,12.4,1.2,-4.6,10.8,268.70921,0.0369978382984671,0.0285478143088555,-0.041209991063455,-0.1370368746720323,-0.2536787633087445,1.2997116447150543,1.4103096866543174,0.0964847893116907,-1.9109370716936973,恐惧,0.0044718131445218
2015-07-07,-0.0176399518123753,-0.0047193646800481,0.0047193646800481,3928.003,67938502400,54.84,-103.5783,16201.8,611.66,12.4,1.2,-4.6,10.8,268.70921,0.0360076807468299,0.0285083531732428,-0.1259967184473432,-0.1868177211735335,-0.2948724432935958,1.2840079011173977,1.4716638291854258,0.0552474119800825,-4.647539806111181,极度恐惧,0.0025964587368318
2015-07-08,-0.0674553965462857,-0.0084466431505718,0.0084466431505718,3663.038,58146707200,51.7,-66.2613,14437.8,611.75,12.4,1.2,-4.6,10.8,268.70921,0.0378122163724085,0.0296454432299147,-0.1442732421213407,-0.2739206756120532,-0.3555494147693095,1.0400762978643494,1.2580525853198004,0.0410500791965575,-1.098671148700554,恐惧,0.0116008970747505
2015-07-09,0.0640419236710074,0.0064066416562218,0.0064066416562218,3897.626,50387062400,55.34,-37.5711,14359.8,611.51,12.4,1.4,-4.8,10.8,268.70921,0.0419159549139092,0.0308639088789308,-0.0461320276168293,-0.174303850801198,-0.2899373808520774,0.8864350532663577,1.082937373101957,0.1006864178348564,0.4360999044800446,中性,0.0127099935222672
2015-07-10,0.0536044248473299,0.008185710416422,0.008185710416422,4106.556,50070179200,54.02,-28.5082,14379.7,611.53,12.4,1.4,-4.8,10.8,268.70921,0.0445308545850827,0.0316382879671419,0.0615325764517072,-0.0420168080683663,-0.235857923645287,0.8592732450445905,1.0637396680421445,0.0709986665225069,-1.5875450307707748,恐惧,0.0107058583979124
2015-07-13,0.0256312101917033,0.001755577520317,0.001755577520317,4211.812,50209219200,52.96,-23.018600000000003,14368.1,611.33,12.4,1.4,-4.8,10.8,268.70921,0.0451676653734406,0.0315655627254769,0.0581822103513797,0.0169722192879246,-0.2156021051834892,0.907116822952336,1.058601590422896,0.0488461973136503,-1.0825797570534053,恐惧,0.0051048812548957
2015-07-14,-0.0236627370832315,-0.0121019022227595,0.0121019022227595,4112.149,45442201600,49.31,-15.722,14387.8,611.65,12.4,1.4,-4.8,11.8,268.70921,0.0451990010705875,0.0316032713095181,0.0521594250805235,-0.0738372933668197,-0.2179067272120313,0.8936330759010251,0.9602532760344152,0.0476668039022904,-1.1021942529017772,恐惧,0.0052072162549517
