target,model,variable,coef,std_coef,std_error_hac,t_value,p_value,ci_lower,ci_upper,significant_5pct
future_absret_5,HAR_OLS,const,0.0027320040402828228,,0.0006948065847044385,3.9320353324587174,8.422968200880124e-05,0.0013702081580408449,0.004093799922524801,True
future_absret_5,HAR_OLS,past_absret_5,0.14861566128787718,0.15618731394728871,0.07102326620142979,2.0924926328562083,0.0363944700947619,0.00941261746867389,0.28781870510708046,True
future_absret_5,HAR_OLS,past_absret_20,0.37136411662511837,0.3391509371084592,0.11782032636491363,3.1519528767466474,0.0016218244473729924,0.14044052030313267,0.602287712947104,True
future_absret_5,HAR_OLS,past_absret_60,0.16803811095797697,0.15130594642442907,0.12237812818228429,1.3731057457234626,0.16971947510421215,-0.07181861277472643,0.40789483469068033,False
future_absret_5,HARX_OLS,const,0.004524553792088875,,0.0030468425379041155,1.4849975789038505,0.1375444654556193,-0.0014471478487678054,0.010496255432945556,False
future_absret_5,HARX_OLS,past_absret_5,0.1432794427635769,0.1505792264097883,0.06990470989388906,2.049639330183418,0.040399639441982445,0.006268729021833563,0.28029015650532024,True
future_absret_5,HARX_OLS,past_absret_20,0.39657011377075946,0.3621704943838983,0.11465199693103278,3.458902804887998,0.0005423805907736622,0.1718563290303384,0.6212838985111805,True
future_absret_5,HARX_OLS,past_absret_60,0.09685214517016148,0.0872082255904069,0.12542585966016004,0.7721864170003003,0.4400040252183003,-0.14897802249372744,0.3426823128340504,False
future_absret_5,HARX_OLS,epu_log_m1,-0.00018662266827942141,-0.015514772496298953,0.00047982003823599407,-0.3889430482426688,0.6973182765411863,-0.0011270526622826015,0.0007538073257237586,False
future_absret_5,HARX_OLS,fx_ret1_m1,0.07889344494052433,0.02846669836055096,0.050142844613645134,1.57337393896188,0.11563225779723288,-0.019384724584608368,0.17717161446565705,False
future_absret_5,HARX_OLS,ppi_yoy_m1,-0.00011859579832713968,-0.08141627012941739,6.749807078887535e-05,-1.757025007397485,0.07891354679461969,-0.0002508895860992705,1.3697989444991097e-05,False
future_absret_5,HARX_OLS,m2_delta1_m1,-0.00025776659101298696,-0.013637261654556863,0.0003437301561217728,-0.7499097371068845,0.45330906966552054,-0.0009314653174119917,0.0004159321353860177,False
future_absret_5,HAR_Ridge,past_absret_5,0.14132433332535307,6.778166773910404e-06,,,,,,
