,future_absret_5,past_absret_5,past_absret_20,past_absret_60,epu_log_m1,fx_ret1_m1,ppi_yoy_m1,m2_delta1_m1
future_absret_5,1.0,0.8965087729001641,0.6432384535256419,0.44368344633862,-0.07364439142572855,0.060219542334826306,-0.06529676398948789,0.08320146324192362
past_absret_5,0.8965087729001641,1.0,0.6929633728435626,0.46786149569583235,-0.06925325694234527,0.05805589233500615,-0.06787764456967396,0.08008538983654968
past_absret_20,0.6432384535256419,0.6929633728435626,1.0,0.7397361697364978,-0.06191005803912482,0.13606621128459154,-0.1180577021314398,0.1456080521993996
past_absret_60,0.44368344633862,0.46786149569583235,0.7397361697364978,1.0,-0.0739265926543046,0.15070798473329103,-0.21348268751388835,0.1648382365368535
epu_log_m1,-0.07364439142572855,-0.06925325694234527,-0.06191005803912482,-0.0739265926543046,1.0,-0.04074493783995317,-0.14534916355880748,0.10631749396181138
fx_ret1_m1,0.060219542334826306,0.05805589233500615,0.13606621128459154,0.15070798473329103,-0.04074493783995317,1.0,0.03437525945992616,0.14218516426486408
ppi_yoy_m1,-0.06529676398948789,-0.06787764456967396,-0.1180577021314398,-0.21348268751388835,-0.14534916355880748,0.03437525945992616,1.0,0.10128097782765927
m2_delta1_m1,0.08320146324192362,0.08008538983654968,0.1456080521993996,0.1648382365368535,0.10631749396181138,0.14218516426486408,0.10128097782765927,1.0
