,future_logrv_20,past_logrv_5,past_logrv_20,past_logrv_60,epu_log_m1,fx_ret1_m1,ppi_yoy_m1,m2_delta1_m1
future_logrv_20,1.0,0.7053978074909036,0.9845828900590659,0.7852140933812114,-0.03646021893846249,0.13622738786153765,-0.1562565247220483,0.11114250907639375
past_logrv_5,0.7053978074909036,1.0,0.7029644963382506,0.5535379041027245,-0.03630709000391492,0.09442920163528767,-0.07907756343327188,0.07344631648660398
past_logrv_20,0.9845828900590659,0.7029644963382506,1.0,0.7990163018525371,-0.03312780353804944,0.1427817100140709,-0.15936274583851928,0.11714764318238108
past_logrv_60,0.7852140933812114,0.5535379041027245,0.7990163018525371,1.0,0.0014462123876961407,0.12696888017528654,-0.25433230847647215,0.17724326085210548
epu_log_m1,-0.03646021893846249,-0.03630709000391492,-0.03312780353804944,0.0014462123876961407,1.0,-0.04074493783995317,-0.14534916355880748,0.10631749396181138
fx_ret1_m1,0.13622738786153765,0.09442920163528767,0.1427817100140709,0.12696888017528654,-0.04074493783995317,1.0,0.03437525945992616,0.14218516426486408
ppi_yoy_m1,-0.1562565247220483,-0.07907756343327188,-0.15936274583851928,-0.25433230847647215,-0.14534916355880748,0.03437525945992616,1.0,0.10128097782765927
m2_delta1_m1,0.11114250907639375,0.07344631648660398,0.11714764318238108,0.17724326085210548,0.10631749396181138,0.14218516426486408,0.10128097782765927,1.0
