code,name,current,last_close,change_pct,volume,amount,date
sh000001,上证指数,3942.625,3891.8605,1.3043761460617673,484338512,773478638094,2026-04-01 06:18
sz399001,深证成指,13683.5,13478.056,1.5242851046174575,56037099974,958255776467.452,2026-04-01 06:18
sh000300,沪深300,4521.1818,4450.0493,1.5984654372256195,184934829,432029496890,2026-04-01 06:18
sz399006,创业板指,3242.332,3184.952,1.8015970099392282,15360548582,439119910655.370,2026-04-01 06:18
