name,open,last_close,current,high,low,volume,amount,code,date
,3939.5658,3891.8605,3942.6992,3955.943,3929.9213,482115036,769911498177.0,sh000001,2026-04-01
,13731.387,13478.056,13682.614,13740.975,13603.785,55786920949,953814041922.632,sz399001,2026-04-01
,4517.2717,4450.0493,4521.0952,4532.1093,4492.0544,184041771,429767283562.0,sh000300,2026-04-01
